name,categories,city,state,address,postalCode,latitude,longitude
McDonald's,"Hamburgers & Hot Dogs,Carry-out food,Restaurant,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurants,Take Out Restaurants,Hamburgers and Hot Dogs,Restaurants",Richmond,KY,1001 Brandy Ln,40475,37.7761,-84.32046
Sonic Drive-In,"American Restaurants,Burger Joint,Restaurant,Hot Dog Stands and Restaurants,Fast Food Restaurant,American Restaurant,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Owensboro,KY,3107 Frederica St,42301,37.74283,-87.11601
Kfc,"Restaurant,Fried Chicken Joint,Fast Food Restaurant,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Catering,Restaurants",Martinsville,IN,2235 Burton Ln,46151,39.40428,-86.43703
Burger King,"Restaurant,Fast Food Restaurant,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Martinsville,IN,1840 S Ohio St,46151,39.40987,-86.42365
Bob Evans,"American Restaurants,Restaurant,Carry-out food,Fast Food Restaurants,Karaoke,Family Style Restaurants,Restaurants",Richmond,IN,401 Commerce Rd,47374,39.83345,-84.8233
Chicken Express of Conway,"Seafood Restaurants,Fast Food Restaurants,Chicken Restaurants,Restaurants",Conway,AR,2299 Dave Ward Dr,72034,35.07008,-92.45762
Pizza Hut,"Pizza,Restaurant,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Pizza Place,Catering,Restaurants",Lowell,AR,903 N Bloomington St,72745,36.26805,-94.13572
Pizza Hut,"Pizza,Restaurant,Chicken Wings,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Pizza Place,Catering,Restaurants",Bay Minette,AL,604 Mcmeans Ave,36507,30.8832,-87.78719
McDonald's,"Hamburgers & Hot Dogs,Restaurant,Carry-out food,Hot dog restaurants,Hamburger restaurants,American restaurants,Fast Food Restaurants,Take Out Restaurants,Hamburgers and Hot Dogs,Restaurants",Alexander City,AL,4094 Highway 280,35010,32.92295,-85.96012
Pizza Hut,"Pizza,Restaurant,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Catering,Restaurants",Sylacauga,AL,511 W Fort Williams St,35150,33.16701,-86.2586
Pizza Hut,"Pizza,Restaurant,Food and Beverage,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Pizza Place,Catering,Restaurants",Enterprise,AL,1010 Rucker Blvd,36330,31.32437,-85.8238
Little Caesars Pizza,"Pizza,Carry-out food,Restaurant,Take Out Restaurants,Fast Food,Pizza Place,Internet and online advertising,Restaurants",Chicago,IL,2601 W Cermak Rd,60608,41.8517,-87.69081
Burger King,"Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food,Fast food restaurants,Food & Entertainment,Restaurants",Glendale Heights,IL,2121 Bloomingdale Rd,60139,41.936657,-88.079651
McDonald's,"Restaurant,Carry-out food,Burger Joint,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurants,Take Out Restaurants,Hamburgers and Hot Dogs,Restaurants",Chehalis,WA,1601 Nw Louisiana Ave,98532,46.67453,-122.978378
SUBWAY,"Carry-out food,Restaurant,Delicatessens,American restaurants,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops",Tenino,WA,698 Sussex Ave W,98589,46.856795,-122.858387
Skyline Chili,"Hot Dog Joint,Restaurant,American Restaurant,American restaurants,Karaoke,Fast Food Restaurants,Hamburgers and Hot Dogs,Hot Dog Joint and American Restaurant,Restaurants",Eaton,OH,1704 N Barron St,45320,39.763142,-84.636402
SONIC Drive-In,"Carry-out food,Restaurant,Hot dog restaurants,Hot Dog Stands and Restaurants,Hamburger restaurants,American restaurants,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",Eaton,OH,1719 N Barron St,45320,39.76814,-84.6365
KFC,"Restaurant,Carry-out food,Caterers,Fried Chicken Joint,Barbecued poultry,Fast Food Restaurant,Barbecue,Spare rib restaurants,Catering,Chicken restaurants,Restaurants",Willoughby,OH,34400 Euclid Ave,44094,41.6237,-81.44342
KFC,"Restaurant,Carry-out food,Caterers,Fried Chicken Joint,Barbecued poultry,Fast Food Restaurant,Barbecue,Spare rib restaurants,Chicken restaurants,Catering,Restaurants",Eastlake,OH,29050 Lake Shore Blvd,44095,41.63003,-81.48238
Quiznos,"Delis And Delicatessens,American Restaurants,Carry-out food,Caterers,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Catering,Restaurants,Sandwich Shops",Fairborn,OH,2840 Colonel Glenn Hwy,45324,39.777317,-84.058133
Taco Bell,"Mexican Restaurant,Restaurant,Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Fast Food Restaurants,Karaoke,Mexican Restaurant and Fast Food Restaurant,Restaurants",Defiance,OH,1902 E 2nd St,43512,41.28277,-84.327151
Church's Chicken,"Carry-out food,Fried Chicken Joint and American Restaurant,Fried Chicken Joint,American Restaurant,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Restaurants,Restaurant,Barbecued poultry,Barbecue,Spare rib restaurants,Catering",Dayton,OH,5711 N Dixie Dr,45414,39.819919,-84.198659
Chipotle Mexican Grill,"Carry-out food,Tex-mex restaurants,Southwestern restaurants,Mexican restaurants,Take Out Restaurants,Fast Food Restaurants,Landscape contractors,Restaurants",Cleveland,OH,4394 Montagano Blvd,44121,41.52938,-81.52194
Pizza Hut,"Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Karaoke,Home delivery beer and beverages,Restaurants,Pizza,Barbecued poultry,Barbecue,Pizza Place,Spare rib restaurants,Catering,Chicken restaurants",Miamisburg,OH,1200 E Central Ave,45342,39.63981,-84.26827
Mr. Hero,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,Fast Food Restaurant,wich Place,Sandwich Place,Restaurants,Sandwich Shops",Cuyahoga Falls,OH,3482 Hudson Dr,44221,41.163036,-81.477631
KFC,"Carry-out food,Restaurant,Caterers,Fried Chicken Joint,Barbecued poultry,Fast Food Restaurant,Barbecue,Spare rib restaurants,Chicken restaurants,Catering,Restaurants",Cambridge,OH,2301 Southgate Pkwy,43725,40.001835,-81.57648
